iscnPrefix,classTitle,classDescription,imageUrl,catalogId,mintCount,listCount,editionTitleEn,editionTitleZh,editionDescriptionEn,editionDescriptionZh,editionPriceUSD,classId
iscn://likecoin-chain/R32cp4FTb_9pouux6dVTxCkj-Wiwh_-wfIyE-pC2ll0,A Calendar of Sonnets,,https://www.gutenberg.org/cache/epub/19504/pg19504.cover.medium.jpg,19504,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1qnnhfaacs9tpzklqf8aaul4alpxkgau3n35ggczkan0k6dxljjesxm237q
iscn://likecoin-chain/jNwKI4pxm4zMddSpl0ez1-f2vf3w1cf_KLCMAlpnjio,A Castle in Spain: A Novel,,https://www.gutenberg.org/cache/epub/30863/pg30863.cover.medium.jpg,30863,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1j2ahujvha7kz8lpyv0a6vj60aa79jnantxv7a5rzulfukad9rjuq4tuwdz
iscn://likecoin-chain/EmIDOtHe7r8SNxhkuFO-CvFLMkAyKUAodWmH1SlktB0,A Catechism of the Steam Engine,,https://www.gutenberg.org/cache/epub/10998/pg10998.cover.medium.jpg,10998,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1thjw2g5xz6n4wucstcrc3aygmtrcyj9ncanlss56ggfp0xuvmpvspexd92
iscn://likecoin-chain/R3hYXQW-F0U8tSbT5g_29-5qGZ8bDHPHpRM7exkudPA,A Century of Negro Migration,,https://www.gutenberg.org/cache/epub/10968/pg10968.cover.medium.jpg,10968,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1aqy5kdgvhlrx985vdkdxg3smrctn4jxth6ealq6rs4egr5wlgq7qp7znm8
iscn://likecoin-chain/O5j-iiS1Co5C196xXlbAc21TiuWikEUuDym0EMAHX_w,A Chair on the Boulevard,,https://www.gutenberg.org/cache/epub/9928/pg9928.cover.medium.jpg,9928,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ct8vxvx6vjwef06raupx6dfjh4n6w0wveuayns2fcpu053z29clqp7t67d
iscn://likecoin-chain/bNMGtUKZ1nUIvGFY_A68Adc62OfzBMG73Oe-VH-r5OY,A Child's Anti-Slavery Book Containing a Few Words about American Slave Children and Stories of Slave-Life.,,https://www.gutenberg.org/cache/epub/10464/pg10464.cover.medium.jpg,10464,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1vu3cjlhtee2ftvp65ctm7hkjqu5svd5j2x88mpraru8twjcmvjvq7jz5pz
iscn://likecoin-chain/Cg7mBmVwAsZIKP1PposWp3otVzr3oiZ3JXiZjXesYZ4,A Child's Story Garden,,https://www.gutenberg.org/cache/epub/7868/pg7868.cover.medium.jpg,7868,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kn4gfu7rwje2vauzjp2gn9gln8yggh7gsluvyynp5zajjmefvkpswhvlet
iscn://likecoin-chain/O_0sB590DeXCEjfSggYuwAISdgN4Tzfwwx8MoM20wz8,A Christmas Greeting: A Series of Stories,,https://www.gutenberg.org/cache/epub/31103/pg31103.cover.medium.jpg,31103,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft17k9uchz2h77krw404wwsqj388qpulrdqyepce8evlk7gh5u0zrmsr35t7f
iscn://likecoin-chain/Hmi8zdKdMYQRuiqXsRpYvVgvdEVPP0b6eD_lzyJQW3s,A Christmas Mystery The Story of Three Wise Men,,https://www.gutenberg.org/cache/epub/10707/pg10707.cover.medium.jpg,10707,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1uqar24lvlkd65glkfprxmuxvukfx8lwrf92324vg89eujhykgghscz0yfp
iscn://likecoin-chain/bncDpxqERA98IwtUdCWbBz9F4BoUxp2ovflqZdquQX0,"A Collection of Old English Plays, Volume 3",,https://www.gutenberg.org/cache/epub/10734/pg10734.cover.medium.jpg,10734,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1tt8euq2m74nsngqrhtl8kd96a4jxkxmz8q6seta2rkhk7nuemesqqqftx3
iscn://likecoin-chain/6k9ZZELYGKVifJz4Qfr7BwQabrakcQlbmj-isz5q2Oo,"A Color Notation A measured color system, based on the three qualities Hue, Value and Chroma",,https://www.gutenberg.org/cache/epub/26054/pg26054.cover.medium.jpg,26054,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1hf8cphdf36mw572jgka42h5jv90lkxgfej4zmulkvwp9lfpv0jjsrr0t5w
iscn://likecoin-chain/Bmufj6mFRntXF5vu0LWtmyyy8M4PIqtia2RJXv7tDPM,A Columbus of Space,,https://www.gutenberg.org/cache/epub/8673/pg8673.cover.medium.jpg,8673,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1dyqwaprq4jy0cg43tm86ztvwzyl43alc3vd269d4064kzjxa05ss7t7hy2
iscn://likecoin-chain/J7Nh-QPSI5FO-Pmg_ZqnB0Yj6Yi2fDj6AAn7LIzp8Jw,A Connecticut Yankee in King Arthur's Court,,https://www.gutenberg.org/cache/epub/19506/pg19506.cover.medium.jpg,19506,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1qjy76qt2a2c35getske3xuelrsfgr7skvcde2c3jzn303zhg6meq38gk3m
iscn://likecoin-chain/8Wy7ploIzk7iQgG0lMfehwgZHF1O0Q2scfMM5SSKcPQ,A Cumberland Vendetta,,https://www.gutenberg.org/cache/epub/3022/pg3022.cover.medium.jpg,3022,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft15395zd6lmhfw57wwwd5tkrt6hw9csu63mdr8xeml5nstpkzhsr8s72eym0
iscn://likecoin-chain/2sjH7MB8aNO43F88RgtP6KSi5WNEoCu3pc3UrduLt60,A Daughter of Fife,,https://www.gutenberg.org/cache/epub/7062/pg7062.cover.medium.jpg,7062,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1a5kml2zcz2m2v9mgfjwcer8nu9f56stg65fyyf2t0fycjnr4sm4sgd73jc
iscn://likecoin-chain/eALEOoklzWg2p5bP1Szy_kzUI2HMRq0fjuQBtyK3eYU,A Day at the County Fair,,https://www.gutenberg.org/cache/epub/23999/pg23999.cover.medium.jpg,23999,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1mvj698a4rxkhnsa4698vmghrr5l3dwzs5grpktfr7sdn8jqf0wls7qwfu5
iscn://likecoin-chain/6h3mCFvXj1BWDSn0dPUqh8EGhIZ0W0aV7sEMxYAuZL0,A Day in Old Athens; a Picture of Athenian Life,,https://www.gutenberg.org/cache/epub/4716/pg4716.cover.medium.jpg,4716,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft17mccatjdam3z6djw0c9pmk3vdahd0t4jqlwj4s5lame0dtvazetq28asj9
iscn://likecoin-chain/bUrnhDOiOl9j_mGhFmpe1exKZwQJBLl5oIIL5FFg6mA/1,A Day of Fate,,https://www.gutenberg.org/cache/epub/6113/pg6113.cover.medium.jpg,6113,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ua8a6lp8x2rdhg0alp05jm9srlg2ulhx0l5u7huju20mwvu9vynq5zuvxv
